Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1998-02-12,62.2,63.3,62.0,63.0,62.792270531401,20700.0,102.0,1299800.0,,,1.3,0.8
1998-02-11,63.7,65.9,61.5,62.7,63.623788927336,115600.0,387.0,7354910.0,,,4.4,-1.0
1998-02-10,66.25,66.4,62.1,63.05,63.73467198038,163100.0,676.0,10395125.0,,,4.3,-3.2
1998-02-09,68.0,68.75,67.25,67.35,67.819402985075,40200.0,178.0,2726340.0,,,1.5,-0.65
1998-02-06,66.5,68.75,66.0,66.75,67.281442241969,146300.0,588.0,9843275.0,,,2.75,0.25
1998-02-05,69.0,69.5,65.5,65.5,67.695251937984,103200.0,330.0,6986150.0,,,4.0,-3.5
1998-02-04,70.0,70.25,68.25,68.5,69.692241968558,146300.0,264.0,10195975.0,,,2.0,-1.5
1998-02-03,72.0,72.25,68.25,70.0,70.049172102358,597900.0,438.0,41882400.0,,,4.0,-2.0
1998-02-02,73.75,73.75,71.25,71.75,72.064362336114,83900.0,297.0,6046200.0,,,2.5,-2.0
1998-01-29,72.5,73.0,71.0,71.25,71.800518134715,57900.0,245.0,4157250.0,,,2.0,-1.25
1998-01-28,75.0,76.0,72.5,73.0,74.313008130081,36900.0,195.0,2742150.0,,,3.5,-2.0
1998-01-27,77.75,78.0,75.25,75.25,76.366901408451,35500.0,159.0,2711025.0,,,2.75,-2.5
1998-01-23,78.5,79.0,77.5,77.5,78.155747126437,43500.0,205.0,3399775.0,,,1.5,-1.0
1998-01-22,79.75,80.0,78.5,79.0,79.061344537815,59500.0,258.0,4704150.0,,,1.5,-0.75
1998-01-21,78.0,84.0,77.25,79.5,82.018448576409,344200.0,821.0,28230750.0,,,6.75,1.5
1998-01-20,79.25,79.25,76.25,78.75,77.784192825112,312200.0,328.0,24284225.0,,,3.0,-0.5
1998-01-19,79.75,79.75,77.0,79.0,78.312915742794,90200.0,381.0,7063825.0,,,2.75,-0.75
1998-01-16,73.0,79.5,72.5,79.5,78.235366986683,322900.0,451.0,25262200.0,,,7.0,6.5
1998-01-15,73.0,73.5,71.75,72.5,72.498768472906,20300.0,81.0,1471725.0,,,1.75,-0.5
1998-01-14,73.0,74.25,72.0,73.0,73.096570397112,27700.0,152.0,2024775.0,,,2.25,0.0
1998-01-13,72.0,72.75,71.5,72.5,72.18779342723,42600.0,200.0,3075200.0,,,1.25,0.5
1998-01-12,72.5,72.75,70.0,71.0,70.653773584906,79500.0,297.0,5616975.0,,,2.75,-1.5
1998-01-09,75.5,76.0,73.5,75.5,74.981531229013,148900.0,205.0,11164750.0,,,2.5,0.0
1998-01-08,77.25,77.25,76.0,77.0,76.427450980392,51000.0,120.0,3897800.0,,,1.25,-0.25
1998-01-07,78.75,79.5,77.0,78.0,78.11524822695,28200.0,120.0,2202850.0,,,2.5,-0.75
1998-01-06,80.0,80.5,78.5,78.75,79.067204301075,37200.0,123.0,2941300.0,,,2.0,-1.25
1998-01-05,81.75,82.0,80.25,80.75,81.187317784257,34300.0,149.0,2784725.0,,,1.75,-1.0
1998-01-02,80.75,81.0,80.0,80.75,80.424846625767,32600.0,155.0,2621850.0,,,1.0,0.0
1998-01-01,47.5,50.25,47.0,48.0,48.957125231339,162100.0,507.0,7935950.0,,,3.25,0.5
1997-12-31,78.5,80.0,77.75,78.0,79.127376425856,26300.0,131.0,2081050.0,,,2.25,-0.5
1997-12-30,79.25,80.0,78.0,78.25,78.886850152905,32700.0,134.0,2579600.0,,,2.0,-1.0
1997-12-29,78.5,80.25,78.5,79.5,79.548672566372,22600.0,126.0,1797800.0,,,1.75,1.0
1997-12-26,78.75,80.0,77.75,78.0,78.991349480969,28900.0,139.0,2282850.0,,,2.25,-0.75
1997-12-24,77.0,78.25,76.0,78.0,77.092645998558,138700.0,140.0,10692750.0,,,2.25,1.0
1997-12-23,78.5,79.5,78.0,79.25,78.45564516129,37200.0,157.0,2918550.0,,,1.5,0.75
1997-12-22,77.5,79.25,77.5,78.25,78.241,50000.0,171.0,3912050.0,,,1.75,0.75
1997-12-19,75.0,76.5,75.0,76.25,76.014623955432,35900.0,142.0,2728925.0,,,1.5,1.25
1997-12-18,73.0,77.5,73.0,75.75,75.551560758083,89700.0,270.0,6776975.0,,,4.5,2.75
1997-12-17,72.0,72.75,71.75,72.5,72.278481012658,23700.0,97.0,1713000.0,,,1.0,0.5
1997-12-16,71.25,72.0,70.75,71.0,71.274096385542,16600.0,74.0,1183150.0,,,1.25,-0.25
1997-12-15,70.0,71.25,70.0,71.0,70.662121212121,16500.0,67.0,1165925.0,,,1.25,1.0
1997-12-12,71.0,71.25,69.75,69.75,70.429838709677,31000.0,127.0,2183325.0,,,1.5,-1.25
1997-12-11,70.5,71.25,69.5,70.75,71.184605263158,38000.0,124.0,2705015.0,,,1.75,0.25
1997-12-10,70.5,71.5,70.0,71.25,70.991467576792,29300.0,116.0,2080050.0,,,1.5,0.75
1997-12-09,74.0,74.0,71.0,71.25,71.729440789474,30400.0,146.0,2180575.0,,,3.0,-2.75
1997-12-08,70.75,74.75,70.75,72.75,73.128846153846,54600.0,225.0,3992835.0,,,4.0,2.0
1997-12-05,70.5,71.0,69.75,70.75,70.24356223176,23300.0,130.0,1636675.0,,,1.25,0.25
1997-12-04,70.0,70.25,69.5,70.0,69.806144067797,23600.0,97.0,1647425.0,,,0.75,0.0
1997-12-03,70.0,71.5,70.0,70.75,70.556701807229,332000.0,85.0,23424825.0,,,1.5,0.75
1997-12-02,70.25,70.75,70.0,70.25,70.435754189944,17900.0,68.0,1260800.0,,,0.75,0.0
1997-12-01,70.0,71.0,69.5,70.5,70.482484076433,15700.0,64.0,1106575.0,,,1.5,0.5
1997-11-28,72.0,72.0,70.0,71.5,70.714285714286,19600.0,124.0,1386000.0,,,2.0,-0.5
1997-11-27,71.5,72.75,71.25,72.75,72.312195121951,20500.0,100.0,1482400.0,,,1.5,1.25
1997-11-26,71.75,72.5,71.5,71.75,71.926204819277,16600.0,97.0,1193975.0,,,1.0,0.0
1997-11-25,70.0,71.5,69.25,71.25,70.654205607477,21400.0,131.0,1512000.0,,,2.25,1.25
1997-11-24,70.25,71.0,69.5,69.5,70.181734317343,27100.0,139.0,1901925.0,,,1.5,-0.75
1997-11-21,70.0,72.0,69.75,71.75,70.834834834835,33300.0,160.0,2358800.0,,,2.25,1.75
1997-11-20,69.0,71.0,68.75,70.25,69.977574750831,30100.0,120.0,2106325.0,,,2.25,1.25
1997-11-19,70.0,70.5,67.25,70.25,68.978929384966,43900.0,206.0,3028175.0,,,3.25,0.25
1997-11-18,71.5,71.75,70.75,71.0,71.108657243816,28300.0,120.0,2012375.0,,,1.0,-0.5
1997-11-17,72.25,72.25,71.25,72.0,71.771829916477,131700.0,151.0,9452350.0,,,1.0,-0.25
1997-11-14,73.5,73.5,71.5,72.25,72.456937799043,83600.0,222.0,6057400.0,,,2.0,-1.25
1997-11-13,74.0,74.5,72.5,72.75,73.679577464789,78100.0,199.0,5754375.0,,,2.0,-1.25
1997-11-12,75.5,75.75,74.75,75.0,75.1875,26800.0,116.0,2015025.0,,,1.0,-0.5
1997-11-11,76.0,76.0,75.25,75.75,75.801818181818,27500.0,134.0,2084550.0,,,0.75,-0.25
1997-11-10,76.0,76.25,75.0,75.75,75.822580645161,37200.0,129.0,2820600.0,,,1.25,-0.25
1997-11-07,77.5,78.0,76.5,76.75,77.10453539823,45200.0,167.0,3485125.0,,,1.5,-0.75
1997-11-06,76.25,78.25,76.0,77.5,76.773137697517,44300.0,144.0,3401050.0,,,2.25,1.25
1997-11-05,78.5,78.5,77.0,77.5,77.61914893617,70500.0,211.0,5472150.0,,,1.5,-1.0
1997-11-04,80.75,81.0,78.25,78.5,79.28345959596,79200.0,243.0,6279250.0,,,2.75,-2.25
1997-11-03,81.25,81.75,79.75,80.75,80.43853820598,30100.0,159.0,2421200.0,,,2.0,-0.5
1997-10-30,80.0,82.25,80.0,81.25,81.654558404558,35100.0,181.0,2866075.0,,,2.25,1.25
1997-10-27,82.0,82.0,80.5,81.0,81.16065830721,31900.0,129.0,2589025.0,,,1.5,-1.0
1997-10-24,79.25,83.75,78.75,81.25,81.408800243605,164200.0,559.0,13367325.0,,,5.0,2.0
1997-10-23,83.0,83.0,79.75,81.0,80.970898570456,146900.0,580.0,11894625.0,,,3.25,-2.0
1997-10-22,84.75,85.0,83.0,83.5,83.753214826021,132200.0,490.0,11072175.0,,,2.0,-1.25
1997-10-21,87.0,88.0,82.5,85.5,85.236346396966,395500.0,1552.0,33710975.0,,,5.5,-1.5
